recipe_code_org,recipe_code,recipe_name_org,recipe_name,primarysource
16.8,ASC367,Chirwa Cutlet,Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),asc_manual
16.9,ASC368,Peanut Cutlet,Peanut cutlet (Mungfali ke cutlet),asc_manual
16.1,ASC369,Fish Cutlet,Fish cutlet (Machli ka cutlet),asc_manual
16.11,ASC370,Paneer Potato Cutlet,Paneer potato cutlet (Paneer aloo cutlet),asc_manual
16.12,ASC371,Spinach Channa Dal Cutlet,Spinach chickpeas cutlet (Palak channa dal cutlet),asc_manual
16.13,ASC372,Cheese Toast,Cheese toast,asc_manual
16.16,ASC375,Vegetable Burger,Vegetable burger,asc_manual
16.17,ASC376,Cheese Pizza,Cheese pizza,asc_manual
16.18,ASC377,Vegetable Seekh Kebab,Vegetable seekh kebab,asc_manual
16.19,ASC378,Masala Vada,Masala vada,asc_manual
16.2,ASC379,Peanut Sago Vadas,Peanut sago vada (Sabudana mungfali vada),asc_manual
16.21,ASC380,Vegetarian Scotch Egg,Vegeterian scotch egg,asc_manual
16.22,ASC381,Paneer shaslik,Paneer shaslik/tikka,asc_manual
16.23,ASC382,Peanut Brittle,Peanut brittle (Moongfali ki chikki),asc_manual
16.24,ASC383,Spring Roll,Spring roll,asc_manual
16.25,ASC384,Dry Mango Chutney,Dry mango chutney (Sookhe aam ki chutney),asc_manual
16.26,ASC385,Peanut Chutney,Peanut chutney (Mungfali ki chutney),asc_manual
16.27,ASC386,Coconut Chutney,Coconut chutney (Nariyal ki chutney),asc_manual
16.28,ASC387,Mint and Coriander Chutney,Mint and coriander chutney (Pudinay aur dhaniye ki chutney),asc_manual
16.29,ASC388,Curd Dip -1,Curd dip,asc_manual
17.1,ASC394,Short Crust Pastry,Short crust pastry,asc_manual
17.2,ASC395,Custard Tart,Custard tart,asc_manual
17.3,ASC396,Lemon Tart,Lemon tart,asc_manual
17.4,ASC397,Jam Tarts,Jam tart,asc_manual
17.5,ASC398,Orange Cream Tart,Orange cream tart,asc_manual
17.6,ASC399,Pineapple Tart,Pineapple tart,asc_manual
17.7,ASC400,Cheese and Mushroom Tart,Cheese and mushroom tart,asc_manual
17.8,ASC401,Cottage Cheese Pie,Cottage cheese pie,asc_manual
17.9,ASC402,Minced Meat Pie,Minced meat pie,asc_manual
17.1,ASC403,Apple Cinnamon Pie,Apple cinnamon pie,asc_manual
17.11,ASC404,Lemon Meringue Pie,Lemon meringue pie,asc_manual
17.12,ASC405,Chocolate Meringue Pie,Chocolate meringue pie,asc_manual
17.13,ASC406,Choux Pastry,Choux pastry,asc_manual
17.14,ASC407,Cream Puffs,Cream puffs,asc_manual
17.15,ASC408,Chocolate Eclairs,Chocolate eclairs,asc_manual
17.16,ASC409,Cheese Balls,Cheese balls,asc_manual
17.17,ASC410,Flaky Pastry,Flaky pastry,asc_manual
17.18,ASC411,Minced Meat Patties,Minced meat patties,asc_manual
17.19,ASC412,Cheese Patties,Cheese patties,asc_manual
17.20 a,ASC413,Hot Cheese Souffle,Hot cheese souffle,asc_manual
17.20 b,ASC414,Hot Potato Souffle,Hot potato souffle,asc_manual
17.20 c,ASC415,Hot Fish Souffle,Hot fish souffle,asc_manual
17.20 d,ASC416,Hot Spinach Souffle,Hot spinach souffle,asc_manual
18.1,ASC417,Plain Cream Cake,Plain cream cake,asc_manual
18.2,ASC418,Apple cake,Apple cake (Seb ka cake),asc_manual
18.3,ASC419,Marble Cake,Marble cake,asc_manual
18.4,ASC420,Chocolate cake,Chocolate cake,asc_manual
18.5,ASC421,Orange Cake,Orange cake,asc_manual
18.6,ASC422,Fruit Loaf,Fruit Loaf ,asc_manual
18.7,ASC423,Banana Cake,Banana cake (Kele ka cake),asc_manual
18.8,ASC424,Chocolate Chiffon Cake,Chocolate chiffon cake,asc_manual
18.9,ASC425,Christmas Cake,Christmas cake,asc_manual
18.1,ASC426,Strawberry and Vanilla Cake with Butter Icing,Strawberry and vanilla cake with butter icing,asc_manual
18.11,ASC427,Eggless Cake,Eggless cake,asc_manual
18.12,ASC428,Sponge Cake,Sponge cake ,asc_manual
18.13,ASC429,Swiss Roll,Swiss roll,asc_manual
18.14,ASC430,Pineapple Pastry,Pineapple pastry ,asc_manual
18.15,ASC431,Black Forest Pastry,Black forest pastry,asc_manual
18.16,ASC432,Coconut Finger,Coconut finger,asc_manual
18.17,ASC433,Pineapple Cake,Pineapple cake ,asc_manual
18.18,ASC434,Glace Icing,Glace icing,asc_manual
18.2,ASC436,Royal Icing,Royal icing,asc_manual
18.21,ASC437,American Frosting,American frosting,asc_manual
18.22,ASC438,Gum Icing,Gum icing,asc_manual
19.1,ASC439,Chocolate Walnut Cookies,Chocolate walnut cookies (Chocolate aur akhrot ke cookies),asc_manual
19.2,ASC440,Chocolate Chip Cookies,Chocolate chip cookies,asc_manual
19.3,ASC441,Sweet Plain Biscuit,Sweet plain biscuit,asc_manual
19.4,ASC442,Chocolate Biscuit,Chocolate biscuit,asc_manual
19.5,ASC443,Coconut Biscuit,Coconut biscuit (Nariyal ke biscuit),asc_manual
19.6,ASC444,Sweet And Salty Biscuit,Sweet and salty biscuit (Meethay aur namkeen biscuit),asc_manual
19.7,ASC445,Peanut Biscuit,Peanut biscuit,asc_manual
19.8,ASC446,Pin Wheel Biscuit,Pin wheel biscuit,asc_manual
19.9,ASC447,Kesar Biscuit,Saffron biscuit (Kesar biscuit),asc_manual
19.1,ASC448,Masala Biscuit,Masala biscuit,asc_manual
19.11,ASC449,Ice Box Cookies,Ice box cookies,asc_manual
19.12,ASC450,Ginger Bread Man,Ginger bread man,asc_manual
19.13,ASC451,Danish Cookies,Danish cookies,asc_manual
19.14,ASC452,Short Bread Cookies,Short bread cookies,asc_manual
19.15,ASC453,Coffee Biscuit,Coffee biscuit,asc_manual
19.16,ASC454,Melting Moments,Melting moments,asc_manual
19.17,ASC455,Ginger Biscuit,Ginger biscuit (Adarak ke biscuit),asc_manual
20.1,ASC456,Soyabean Muthias,Soyabean muthias,asc_manual
20.2,ASC457,Soyabean Tikki,Soyabean tikki,asc_manual
20.3,ASC458,Soyabean Namakparas,Soyabean namak paras,asc_manual
20.4,ASC459,Peanut Burfi,Peanut burfi (Moongfali ki burfi),asc_manual
20.5,ASC460,Spinach Peanut Namakpara,Spinach peanut namak paras (Palak moongfali namak paras),asc_manual
20.6,ASC461,Besan suji Cheela,Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),asc_manual
20.7,ASC462,Rice Moong Dal Cheela,Rice moong dal cheela (Chawal aur moong dal ka cheela),asc_manual
20.8,ASC463,Channa Dal Sweet Rice,Split bengal gram sweet rice (Channa dal sweet rice),asc_manual
20.9,ASC464,Sweet Poori,Sweet poori (Meethi poori),asc_manual
20.1,ASC465,Wheat Flour and Dal Burfi,Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),asc_manual
20.11,ASC466,Spinach Burfi,Spinach burfi (Palak burfi),asc_manual
20.12,ASC467,Sweet Channa Dal Roti,Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),asc_manual
20.13,ASC468,Sprouted Moong daliya,Sprouted moong daliya ,asc_manual
20.14,ASC469,Sprouted Moong Poha,Sprouted moong poha ,asc_manual
20.15,ASC470,Bajra Ladoo,Pearl millet ladoo (Bajra ladoo),asc_manual
20.16,ASC471,Paushtik Ladoo,Paushtik ladoo,asc_manual
20.17,ASC472,Paushtik Roti,Paushtik roti,asc_manual
20.18,ASC473,Suji Carrot Vadas,Semolina carrot vada (Suji gajar vada),asc_manual
20.19,ASC474,Dhokla,Dhokla,asc_manual
21.1,ASC475,Channa Murmura Premix,Channa murmura premix,asc_manual
21.2,ASC476,Dalia Moong Dal Premix,Cracked wheat and green gram dal premix (Dalia moong dal premix),asc_manual
21.3,ASC477,Rice Flakes and Roasted Channa,Rice flakes and roasted channa ,asc_manual
21.5,ASC479,Spinach Soup in Milk,Spinach soup in milk ,asc_manual
21.6,ASC480,Vegetable Soup,Vegetable soup,asc_manual
21.7,ASC481,Mashed Banana with Milk,Mashed banana with milk,asc_manual
21.1,ASC484,Poha With Curd,Poha with curd (Poha aur dahi),asc_manual
21.11,ASC485,Potato With Curd,Potato with curd,asc_manual
21.12,ASC486,Sweet Dalia,Sweet wheat porridge (Sweet dalia),asc_manual
21.13,ASC487,Vegetable Khichri,Vegetable khichdi/khichri,asc_manual
21.15,ASC489,Moong Dal Mixture,Moong dal mixture,asc_manual
21.16,ASC490,Dalia Khichri,Cracked wheat khichri/khichdi (Dalia khichri/khichdi),asc_manual
21.18,ASC492,Stewed apple,Stewed apple,asc_manual
22.1,ASC493,Lemon squash,Lemon squash (Nimbu ka squash),asc_manual
22.2,ASC494,Orange squash,Orange squash (Santre ka squash),asc_manual
22.3,ASC495,Lichi squash,Lichi squash,asc_manual
22.4,ASC496,Mango squash,Mango squash (Aam ka squash),asc_manual
22.5,ASC497,Pineapple squash,Pineapple squash (Ananas ka squash),asc_manual
22.6,ASC498,Lemon and Ginger squash,Lemon and ginger squash (Nimbu aur adrak ka squash),asc_manual
23.1,ASC499,Apple Jam,Apple jam (Seb ka murabba),asc_manual
23.2,ASC500,Plum Jam,Plum jam (Aloo bukhara jam),asc_manual
23.3,ASC501,Pineapple Jam,Pineapple jam ,asc_manual
23.4,ASC502,Guava Jelly,Guava jelly (Amrood ki jelly),asc_manual
23.5,ASC503,Orange Marmalade,Orange marmalade (Santray ka murabba),asc_manual
23.6,ASC504,Carrot Murabba,Carrot murabba (Gajar ka murabba),asc_manual
23.7,ASC505,Amla Murabba,Gooseberry marmalade (Amla murabba),asc_manual
23.8,ASC506,Ginger Candy,Ginger candy (Adrak ki candy),asc_manual
24.1,ASC507,Mango Pickle (1),Mango pickle (Aam ka achaar),asc_manual
24.3,ASC509,Mixed Vegetable Pickle (1),Mixed vegetable pickle (Sabziyoon ka achaar),asc_manual
24.5,ASC511,Sweet Lemon Pickle,Sweet lemon pickle (Neembu ka meetha achaar),asc_manual
25.1,ASC512,Plum Chutney,Plum chutney (Aloo bukhara ki chutney),asc_manual
25.2,ASC513,Raw Mango Chutney,Raw mango chutney (Kachhe aam/Kairi ki chutney),asc_manual
25.3,ASC514,Tomato Sauce,Tomato sauce,asc_manual
25.4,ASC515,Tomato Puree,Tomato puree,asc_manual
i,BFP001,Garam Masala,Garam masala,bfp_manual
ii,BFP002,Chat Masala,Chat masala,bfp_manual
iii,BFP003,Kashmiri Masala,Kashmiri masala,bfp_manual
iv,BFP004,Rasam Powder,Rasam powder (Rasam masala),bfp_manual
v,BFP005,Sambar Powder,Sambar powder (Sambar masala),bfp_manual
2,BFP007,Kashmiri Tea (Kehwa),Kashmiri tea (Kehwa),bfp_manual
3,BFP008,Steeped Hot Coffee,Steeped hot coffee,bfp_manual
6,BFP011,HOT CHOCOLATE,Hot chocolate,bfp_manual
8,BFP013,COLD COFFEE (WITH CREAM),Cold coffee (with cream),bfp_manual
10,BFP015,(Banana) MILKSHAKE WITH ICE CREAM,Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),bfp_manual
13,BFP019,FLAVOURED MILKSHAKE,Flavoured milkshake,bfp_manual
18,BFP024,JAL JEERA,Jal jeera,bfp_manual
20,BFP026,GINGO,Gingo,bfp_manual
21,BFP027,MINTADE,Mintade,bfp_manual
23,BFP029,CANJEE,Canjee,bfp_manual
24,BFP030,CAULIFLOWER CANJEE,Cauliflower canjee (Phoolgobhi ki canjee),bfp_manual
24,BFP031,POTATO CANJEE,Potato canjee (Aloo canjee),bfp_manual
29,BFP036,VERMICELLI PORRIDGE,Vermicelli porridge (Semiya/Seviyan porridge),bfp_manual
32,BFP039,SEMOLINA (SUJI) UPMA,Semolina upma (Suji/Rava upma),bfp_manual
33,BFP040,VERMICELLI UPMA,Vermicelli upma (Semiya/Seviyan upma),bfp_manual
33,BFP041,RICE UPMA,Rice upma,bfp_manual
33,BFP042,BREAD UPMA,Bread upma,bfp_manual
34,BFP043,VEGETABLE UPMA,Vegetable upma,bfp_manual
35,BFP044,Poha,Poha,bfp_manual
36,BFP045,VEGETABLE POHA,Vegetable poha,bfp_manual
37,BFP046,MOONG DAL STUFFED CHEELA,Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),bfp_manual
37,BFP047,PANEER STUFFED CHEELA,Paneer stuffed cheela/chilla,bfp_manual
42,BFP052,EGG BHUJIA,Indian style egg bhujia (Anda bhujia (Indian style)),bfp_manual
44,BFP054,FRENCH OMELETTE,French omelette/omlet,bfp_manual
45,BFP055,PUFFY OMELETTE,Puffy omelette/omlet,bfp_manual
46,BFP056,ORANGE OMELETTE,Orange omelette/omlet,bfp_manual
47,BFP057,CHEESE AND MUSHROOM OMELETTE,Cheese and mushroom omelette/omlet,bfp_manual
48,BFP058,SPANISH OMELETTE,Spanish omelette/omlet,bfp_manual
49,BFP059,MIXED STOCK,Mixed stock,bfp_manual
50,BFP060,MEAT STOCK,Meat stock,bfp_manual
52,BFP062,WHITE STOCK,White stock,bfp_manual
55,BFP065,MEAT CONSOMME,Meat consomme (with mutton),bfp_manual
56,BFP066,CONSOMME AU JULIENNE,Consomme au julienne,bfp_manual
57,BFP067,CONSOMME AU VERMICELLI,Consomme au vermicelli,bfp_manual
62,BFP072,GREEN PEA SOUP,Green pea soup (Matar ka soup),bfp_manual
63,BFP073,SPINACH SOUP,Spinach soup (Palak ka soup),bfp_manual
64,BFP074,MIXED VEGETABLE SOUP,Mixed vegetable soup,bfp_manual
65,BFP075,CHEESE SOUP,Cheese soup,bfp_manual
66,BFP076,MULLIGATAWNY SOUP,Mulligatawny soup,bfp_manual
69,BFP079,CREAM OF CARROT SOUP,Cream of carrot soup,bfp_manual
70,BFP080,CREAM OF BROCCOLI SOUP,Cream of broccoli soup,bfp_manual
72,BFP082,CREAM OF POTATO SOUP,Cream of potato soup,bfp_manual
77,BFP087,ALMOND SOUP,Almond soup (Badam ka soup),bfp_manual
78,BFP088,COLD CUCUMBER CREAM SOUP,Cold cucumber cream soup ,bfp_manual
79,BFP089,COLD TOMATO SOUP,Cold tomato soup,bfp_manual
80,BFP090,CHICKEN STEW,Chicken stew,bfp_manual
81,BFP091,VEG PANEER STEW,Veg paneer stew,bfp_manual
85,BFP095,TARTARE SAUCE,Tartare sauce,bfp_manual
86,BFP096,BARBEQUE SAUCE,Barbeque sauce,bfp_manual
87,BFP097,BREAD SAUCE,Bread sauce,bfp_manual
98,BFP108,ONION-GREEN CHILLI PARATHA,Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),bfp_manual
100,BFP110,METHI PARATHA,Methi parantha/paratha,bfp_manual
103,BFP114,BATHUA POORIS,Bathua poori,bfp_manual
104,BFP115,BESAN POORIS,Gram flour poori (Besan poori),bfp_manual
105,BFP116,BEETROOT POORIS,Beetroot poori (Chukandar ki poori),bfp_manual
106,BFP117,PEAS POORIS,Peas poori (Matar ki poori),bfp_manual
107,BFP118,PEAS KACHORIS,Peas kachori (Matar kachori),bfp_manual
111,BFP122,PIZZA,Pizza,bfp_manual
113,BFP124,BACON AND MUSHROOM PANCAKES,Bacon and mushroom pancake,bfp_manual
114,BFP125,CHEESE AND TOMATO PANCAKES,Cheese and tomato pancake,bfp_manual
116,BFP127,MINCED MEAT PANCAKES,Minced meat pancake (with chicken),bfp_manual
121,BFP132,VANGI BHAT,Eggplant/Brinjal rice (Vangi bhat),bfp_manual
122,BFP133,KASHMIRI 'TAHAR',Kashmiri 'tahar',bfp_manual
123,BFP134,ZEERA PULAO,Cumin pulao (Jeera/Zeera pulao),bfp_manual
125,BFP136,PEAS PULAO,Peas pulao (Matar pulao),bfp_manual
126,BFP137,CHANNA DAL AND VEGETABLE PULAO,Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),bfp_manual
127,BFP138,BLACK CHANNA PULAO,Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),bfp_manual
130,BFP141,MUTTON PULAO,Mutton pulao,bfp_manual
131,BFP142,CHICKEN PULAO,Chicken pulao,bfp_manual
132,BFP143,MEXICAN RICE,Mexican rice,bfp_manual
133,BFP144,PLAIN KHITCHDI,Plain khitchdi (Plain khichri/khichdi),bfp_manual
136,BFP147,INSTANT IDLI,Instant idli (with semolina),bfp_manual
137,BFP148,PLAIN DOSA,Plain dosa,bfp_manual
139,BFP150,MASALA DOSA MIXED VEGETABLE FILLINGS,Masala dosa mixed vegetable fillings,bfp_manual
140,BFP151,MASALA DOSA PANEER FILLINGS,Masala dosa paneer fillings,bfp_manual
141,BFP152,UTTAPAM,Uttapam,bfp_manual
142,BFP153,APPAM,Appam,bfp_manual
143,BFP154,BEANS AND MACARONI,Beans and macaroni,bfp_manual
144,BFP155,SPAGHETTI BOLOGNESE,Spaghetti bolognese,bfp_manual
146,BFP157,MEAT AND MACARONI CASSEROLE,Meat and macaroni casserole,bfp_manual
147,BFP158,SPAGHETTI WITH MEAT BALLS AND TOMATO SAUCE,Spaghetti with meat balls and tomato sauce,bfp_manual
148,BFP159,SPAGHETTI WITH PANEER BALLS AND TOMATO SAUCE,Spaghetti with paneer balls and tomato sauce,bfp_manual
150,BFP161,LASAGNE WITH MEAT SAUCE,Lasagne with meat sauce,bfp_manual
151,BFP162,LASAGNE WITH VEGETABLES,Lasagne with vegetables,bfp_manual
152,BFP163,GREEN CHILLI SAUCE,Green chilli sauce,bfp_manual
153,BFP164,HOME MADE PLAIN NOODLES,Home made plain noodles,bfp_manual
153,BFP165,HOME MADE EGG NOODLES,Home made egg noodles,bfp_manual
154,BFP166,DAL MOONG,Dal moong,bfp_manual
155,BFP167,CUMIN SEEDS BAGHAR,Cumin seeds baghar (Jeera baghar/tadka),bfp_manual
156,BFP168,ONION TOMATO BAGHAR,Onion tomato baghar (Pyaaz tamatar ka tadka),bfp_manual
157,BFP169,MUSTARD SEED BAGHAR,Mustard seeds baghar (Mustard seed tadka),bfp_manual
158,BFP170,SOUR LENTILS,Sour lentils (Khatti dal),bfp_manual
159,BFP171,URAD SPECIAL DEHUSKED,Urad special dehusked,bfp_manual
160,BFP172,ARHAR WITH SPINACH,Arhar with spinach (Arhar dal aur palak),bfp_manual
162,BFP174,MOONG DAL WITH VADI,Moong dal with vadi,bfp_manual
164,BFP176,RASAM WITH TAMARIND,Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),bfp_manual
165,BFP177,RASAM WITH LEMON,Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),bfp_manual
166,BFP178,GREEN GRAM WHOLE,Green gram whole with baghar (Sabut moong dal with tadka),bfp_manual
167,BFP179,URAD SABUT SPECIAL,Urad sabut special,bfp_manual
170,BFP185,KABULI CHANNA CURRY,Kabuli channa curry,bfp_manual
171,BFP187,BESAN GATTE CURRY,Besan gatte curry,bfp_manual
174,BFP190,DRY MASALA CHOPS,Dry masala chops,bfp_manual
178,BFP194,MUTTON KORMA,Mutton korma,bfp_manual
180,BFP196,SHAHI KEEMA KOFTA CURRY,Shahi keema kofta curry,bfp_manual
181,BFP197,MINCED MEAT BALL CURRY,Minced meat ball curry,bfp_manual
182,BFP198,BOTI KEBAB,Boti kebab,bfp_manual
183,BFP199,MUTTON SEEKH KEBAB,Mutton seekh kebab,bfp_manual
185,BFP201,NARGISI KOFTA,Indian lamb and egg curry (Nargisi kofta),bfp_manual
187,BFP203,NUTRINUGGET SWEET AND SOUR,Soya chunks sweet and sour (Nutrinugget sweet and sour),bfp_manual
188,BFP204,NUTRINUGGET KORMA,Soya chunks korma (Nutrinugget korma),bfp_manual
189,BFP205,MUSHROOM MATAR,Mushroom matar,bfp_manual
190,BFP206,NUTRINUGGET MATAR,Soya chunks and peas (Nutrinugget matar),bfp_manual
191,BFP207,VEGETABLE YAKANI,Vegetable yakhni,bfp_manual
192,BFP208,PALAK MUSHROOM,Spinach mushroom (Palak mushroom),bfp_manual
194,BFP210,VEGETARIAN NARGISI KOFTA CURRY,Vegetarian nargisi kofta curry,bfp_manual
196,BFP212,ROAST CHICKEN,Roast chicken,bfp_manual
198,BFP214,SHAHI CHICKEN MASALA,Shahi chicken masala,bfp_manual
200,BFP216,TOMATO CHICKEN,Tomato chicken,bfp_manual
201,BFP217,CREAMY CHICKEN,Creamy chicken,bfp_manual
202,BFP218,BROCCOLI CHICKEN ALA KING,Broccoli chicken ala king,bfp_manual
204,BFP220,GINGER CHICKEN,Ginger chicken,bfp_manual
205,BFP221,CHICKEN SWEET AND SOUR,Chicken sweet and sour,bfp_manual
206,BFP222,CHICKEN KORMA,Chicken korma,bfp_manual
207,BFP223,BENGAL FISH CURRY,Bengal fish curry (Bengali machli curry),bfp_manual
210,BFP226,FISH FINGER,Fish finger,bfp_manual
213,BFP229,FISH IN COCONUT MILK,Fish in coconut milk (Nariyal ke doodh ke saath machli),bfp_manual
214,BFP230,PRAWN CURRY,Prawn curry (with coconut) (Jhinga curry),bfp_manual
215,BFP231,BAKED STUFFED FISH,Baked stuffed fish,bfp_manual
216,BFP232,FISH PIE,Fish pie,bfp_manual
217,BFP233,CRISPY BAKED FISH,Crispy baked fish,bfp_manual
218,BFP234,FISH SOUFFLE,Fish souffle,bfp_manual
223,BFP239,POTATO CURRY,Potato curry (Aloo ki sabzi),bfp_manual
224,BFP240,EGG CURRY,Egg curry (Anda curry),bfp_manual
225,BFP241,VEGETABLE CURRY WITH COCONUT,Vegetable curry with coconut ,bfp_manual
226,BFP242,DAHI ALOO,Curd with potatoes (Dahi aloo),bfp_manual
230,BFP246,POTATO KOFTA CURRY,Potato kofta curry (Aloo kofta curry),bfp_manual
233,BFP249,YAM KOFTA,Yam kofta curry (Zimikand/Suran kofta curry),bfp_manual
234,BFP250,JACK FRUIT KOFTA,Jackfruit kofta curry (Kathal ka kofta curry),bfp_manual
241,BFP257,PALAK ALOO,Spinach and potato (Palak aloo),bfp_manual
242,BFP258,MOOLI BHUJIA,Mooli bhujia,bfp_manual
243,BFP259,BATHUA BHUJIA,Bathua bhujia,bfp_manual
245,BFP261,CABBAGE ROLLS (Dry),Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),bfp_manual
245,BFP262,CABBAGE ROLLS (Curried),Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),bfp_manual
246,BFP263,DRY ARBI,Dry arbi (Sookhi arbi),bfp_manual
247,BFP264,MASALA ARBI,Masala arbi,bfp_manual
248,BFP266,MATAR BAINGAN BHARTA,Peas brinjal bhartha (Matar baingan bhartha),bfp_manual
250,BFP269,BHINDI SABZI (LADY'S FINGERS),Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),bfp_manual
251,BFP270,CRISPY BHINDI (LADY'S FINGERS),Crispy okra/Crispy lady's fingers (Karare bhindi),bfp_manual
253,BFP272,BEANS FOOGATH,Beans foogath,bfp_manual
254,BFP273,STUFFED KARELA (WET),Stuffed bittergourd (wet) (Bharwa karele),bfp_manual
256,BFP274,KATHAL/JACKFRUIT (DRY),Jackfruit/Kathal (dry),bfp_manual
256,BFP275,Zimikand/Yam (DRY),Yam fried (Zimikand/Suran fried),bfp_manual
257,BFP276,"CAULIFLOWER, PEA AND POTATO Bhujia","Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",bfp_manual
258,BFP277,VEGETABLE JALFREZI,Vegetable jalfrezi,bfp_manual
259,BFP278,VEGETABLES STIR FRY,Vegetables stir fry ,bfp_manual
260,BFP279,BROCCOLI DELIGHT,Broccoli delight,bfp_manual
261,BFP280,DHANSAK,Dhansak (vegetarian),bfp_manual
263,BFP282,CAULIFLOWER BASKET,Cauliflower basket,bfp_manual
265,BFP284,STUFFED VEGETABLE GOURD/GHIA,Stuffed bottle gourd (Stuffed ghiya/lauki),bfp_manual
267,BFP286,DUCHEESE POTATO,Ducheese potato,bfp_manual
268,BFP287,ROAST POTATOES,Roast potatoes ,bfp_manual
269,BFP288,STUFFED BAKED POTATOES,Stuffed baked potatoes ,bfp_manual
270,BFP289,POTATO NESTS,Potato nests,bfp_manual
271,BFP290,PARSLEY POTATO,Parsley potato,bfp_manual
273,BFP291,CREAMED SPINACH AND MUSHROOMS,Creamed spinach and mushroom,bfp_manual
274,BFP292,FRICASSEE OF MUSHROOM,Fricassee of Mushroom,bfp_manual
275,BFP293,CAULIFLOWER AU GRATIN,Cauliflower au gratin,bfp_manual
276,BFP294,VEGETABLE AND CHEESE PIE,Vegetable and cheese pie,bfp_manual
278,BFP296,SPINACH SOUFFLE,Spinach souffle ,bfp_manual
281,BFP299,BEETROOT AND EGG SALAD,Beetroot and egg salad (Chukandar aur ande ka salad),bfp_manual
282,BFP300,SOUR CREAM POTATO SALAD,Sour cream potato salad,bfp_manual
283,BFP301,TOSSED GREEN SALAD,Tossed green salad,bfp_manual
284,BFP302,SPRING BASKET SALAD,Spring basket salad,bfp_manual
285,BFP303,CUCUMBER AND YOGURT SALAD,Cucumber and yogurt salad (Kheere aur dahi ka salad),bfp_manual
287,BFP305,CHICKEN AND TOMATO TOWERS,Chicken and tomato towers,bfp_manual
288,BFP306,JELLIED SUNSHINE FRUIT SALAD,Jellied sunshine fruit salad,bfp_manual
289,BFP307,TOMATO ASPIC,Tomato aspic,bfp_manual
290,BFP308,FROZEN FROSTY FRUIT SALAD,Frozen frosty fruit salad (Phalon ka salaad),bfp_manual
292,BFP310,FRENCH DRESSING,French dressing,bfp_manual
294,BFP312,MAYONNAISE WITHOUT EGGS,Mayonnaise without eggs,bfp_manual
295,BFP313,CURD DRESSING,Curd dressing ,bfp_manual
298,BFP316,CARROT RAITA,Carrot raita (Gajar ka raita),bfp_manual
300,BFP318,PUMPKIN RAITA,Pumpkin raita (Kaddu ka raita),bfp_manual
302,BFP320,MINT AND PEANUT RAITA,Mint and peanut raita (Pudinay aur moongfali ka raita),bfp_manual
303,BFP321,SPINACH RAITA,Spinach raita (Palak ka raita),bfp_manual
303,BFP322,BATHUA RAITA,Bathua raita,bfp_manual
306,BFP325,PINEAPPLE RAITA,Pineapple raita (Ananas ka raita),bfp_manual
307,BFP326,BANANA RAITA,Banana raita (Kele ka raita),bfp_manual
308,BFP327,MANGO RAITA,Mango raita (Aam ka raita),bfp_manual
309,BFP328,GUAVA RAITA,Guava raita (Amarood ka raita),bfp_manual
310,BFP329,GRAPES RAITA,Grapes raita (Angoor ka raita),bfp_manual
315,BFP334,LAUKI KHEER,Bottle gourd kheer (Ghiya/Lauki kheer),bfp_manual
317,BFP336,PUMPKIN KHEER,Pumpkin kheer (Kaddu ki kheer),bfp_manual
319,BFP338,APPLE KHEER,Apple kheer (Seb ki kheer),bfp_manual
326,BFP345,CARAMEL CUSTARD,Caramel custard (baked),bfp_manual
328,BFP346,VANILLA ICE CREAM WITHOUT EGG,Vanilla ice cream without egg,bfp_manual
329,BFP347,VANILLA ICE CREAM WITH EGG,Vanilla ice cream with egg,bfp_manual
330,BFP348,STRAWBERRY ICE CREAM,Strawberry ice cream,bfp_manual
332,BFP350,CHOCOCHIP ICE CREAM,Chocochip ice cream,bfp_manual
333,BFP351,CHOCONUT ICE CREAM,Choconut ice cream,bfp_manual
334,BFP352,PEAR CHOCOLATE SUNDAY,Pear chocholate sunday,bfp_manual
335,BFP353,CHOCOLATE SAUCE,Chocolate sauce,bfp_manual
336,BFP354,COFFEE ICE CREAM,Coffee ice cream,bfp_manual
337,BFP355,COFFEE PEAR ALASKA,Coffee pear alaska,bfp_manual
338,BFP356,CRUNCHY BUTTERSCOTCH,Crunchy butterscotch,bfp_manual
340,BFP358,PEACH MELBA ICE CREAM,Peach melba ice cream,bfp_manual
341,BFP359,VANILLA ICE CREAM WITH APPLES IN HOT CHERRY SAUCE,Vanilla ice cream with apples in hot cherry sauce,bfp_manual
